zone_id,pixel_count,area_m2,area_ha
675,1,400,0.04
676,1,400,0.04
677,1,400,0.04
678,1,400,0.04
679,3,1200,0.12
680,1,400,0.04
681,14,5600,0.56
682,2,800,0.08
683,1,400,0.04
684,1,400,0.04
685,6,2400,0.24
686,17,6800,0.68
687,1,400,0.04
688,1,400,0.04
689,25,10000,1.0
690,3,1200,0.12
691,17,6800,0.68
692,2,800,0.08
693,1,400,0.04
694,1,400,0.04
695,1,400,0.04
696,1,400,0.04
697,1,400,0.04
698,2,800,0.08
699,7,2800,0.28
700,1,400,0.04
701,1,400,0.04
702,1,400,0.04
703,1,400,0.04
704,1,400,0.04
705,1,400,0.04
706,1,400,0.04
707,6,2400,0.24
708,45,18000,1.8
709,5,2000,0.2
710,2,800,0.08
711,4,1600,0.16
712,10,4000,0.4
713,2,800,0.08
714,11,4400,0.44
715,4,1600,0.16
716,7,2800,0.28
717,1,400,0.04
718,1,400,0.04
719,2,800,0.08
720,1,400,0.04
721,56,22400,2.24
722,1,400,0.04
723,77,30800,3.08
724,36,14400,1.44
725,1,400,0.04
726,2,800,0.08
727,1,400,0.04
728,2,800,0.08
729,5,2000,0.2
730,1,400,0.04
731,1,400,0.04
732,4,1600,0.16
733,1,400,0.04
734,1,400,0.04
735,1,400,0.04
736,1,400,0.04
737,1,400,0.04
738,12,4800,0.48
739,2,800,0.08
740,6,2400,0.24
741,1,400,0.04
742,1,400,0.04
743,1,400,0.04
744,1,400,0.04
745,1,400,0.04
746,2,800,0.08
747,1,400,0.04
748,3,1200,0.12
749,1,400,0.04
750,1,400,0.04
751,1,400,0.04
752,1,400,0.04
753,2,800,0.08
754,4,1600,0.16
755,1,400,0.04
756,21,8400,0.84
757,1,400,0.04
758,2,800,0.08
759,3,1200,0.12
760,3,1200,0.12
761,1,400,0.04
762,2,800,0.08
763,1,400,0.04
764,111,44400,4.44
765,1,400,0.04
766,5,2000,0.2
767,6,2400,0.24
768,1,400,0.04
769,1,400,0.04
770,1,400,0.04
771,1,400,0.04
772,1,400,0.04
773,1,400,0.04
774,4,1600,0.16
775,3,1200,0.12
776,1,400,0.04
777,1,400,0.04
778,1,400,0.04
779,1,400,0.04
780,1,400,0.04
781,7,2800,0.28
782,41,16400,1.64
783,3,1200,0.12
784,3,1200,0.12
785,7,2800,0.28
786,2,800,0.08
787,6,2400,0.24
788,2,800,0.08
789,3,1200,0.12
790,1,400,0.04
791,3,1200,0.12
792,4,1600,0.16
793,74,29600,2.96
794,2,800,0.08
795,1,400,0.04
796,2,800,0.08
797,2,800,0.08
798,1,400,0.04
799,1,400,0.04
800,1,400,0.04
801,4,1600,0.16
802,3,1200,0.12
803,17,6800,0.68
804,1,400,0.04
805,1,400,0.04
806,2,800,0.08
807,2,800,0.08
808,1,400,0.04
809,1,400,0.04
810,2,800,0.08
811,4,1600,0.16
812,1,400,0.04
813,1,400,0.04
814,2,800,0.08
815,1,400,0.04
816,6,2400,0.24
817,1,400,0.04
818,4,1600,0.16
819,2,800,0.08
820,13,5200,0.52
821,1,400,0.04
822,11,4400,0.44
823,1,400,0.04
824,1,400,0.04
825,1,400,0.04
826,1,400,0.04
827,2,800,0.08
828,1,400,0.04
829,1,400,0.04
830,1,400,0.04
831,1,400,0.04
832,1,400,0.04
833,25,10000,1.0
834,1,400,0.04
835,1,400,0.04
836,1,400,0.04
837,1,400,0.04
838,1,400,0.04
839,1,400,0.04
840,1,400,0.04
841,1,400,0.04
842,6,2400,0.24
843,2,800,0.08
844,2,800,0.08
845,1,400,0.04
846,1,400,0.04
847,1,400,0.04
848,1,400,0.04
849,1,400,0.04
850,1,400,0.04
851,1,400,0.04
852,2,800,0.08
853,1,400,0.04
854,2,800,0.08
855,1,400,0.04
856,1,400,0.04
857,1,400,0.04
858,1,400,0.04
859,5,2000,0.2
860,1,400,0.04
861,1,400,0.04
862,1,400,0.04
863,1,400,0.04
864,1,400,0.04
865,4,1600,0.16
866,1,400,0.04
867,2,800,0.08
868,1,400,0.04
869,1,400,0.04
870,2,800,0.08
871,1,400,0.04
872,1,400,0.04
873,1,400,0.04
874,2,800,0.08
875,7,2800,0.28
876,6,2400,0.24
877,8,3200,0.32
878,5,2000,0.2
879,1,400,0.04
880,3,1200,0.12
881,1,400,0.04
882,4,1600,0.16
883,1,400,0.04
884,1,400,0.04
885,2,800,0.08
886,3,1200,0.12
887,9,3600,0.36
888,14,5600,0.56
889,1,400,0.04
890,1,400,0.04
891,1,400,0.04
892,8,3200,0.32
893,1,400,0.04
894,7,2800,0.28
895,1,400,0.04
896,1,400,0.04
897,2,800,0.08
898,1,400,0.04
899,1,400,0.04
900,1,400,0.04
901,1,400,0.04
902,1,400,0.04
903,2,800,0.08
904,7,2800,0.28
905,1,400,0.04
906,1,400,0.04
907,2,800,0.08
908,1,400,0.04
909,1,400,0.04
910,10,4000,0.4
911,1,400,0.04
912,1,400,0.04
913,1,400,0.04
914,2,800,0.08
915,1,400,0.04
916,3,1200,0.12
917,1,400,0.04
918,28,11200,1.12
919,1,400,0.04
920,2,800,0.08
921,1,400,0.04
922,1,400,0.04
923,1,400,0.04
924,2,800,0.08
925,1,400,0.04
926,1,400,0.04
927,4,1600,0.16
928,6,2400,0.24
929,1,400,0.04
930,1,400,0.04
931,2,800,0.08
932,4,1600,0.16
933,1,400,0.04
934,1,400,0.04
935,1,400,0.04
936,1,400,0.04
937,1,400,0.04
938,1,400,0.04
939,2,800,0.08
940,5,2000,0.2
941,5,2000,0.2
942,1,400,0.04
943,1,400,0.04
944,3,1200,0.12
945,1,400,0.04
946,12,4800,0.48
947,2,800,0.08
948,3,1200,0.12
949,1,400,0.04
950,1,400,0.04
951,10,4000,0.4
952,12,4800,0.48
953,3,1200,0.12
954,1,400,0.04
955,2,800,0.08
956,1,400,0.04
957,1,400,0.04
958,15,6000,0.6
959,1,400,0.04
960,1,400,0.04
961,1,400,0.04
962,1,400,0.04
963,2,800,0.08
964,1,400,0.04
965,1,400,0.04
966,3,1200,0.12
967,5,2000,0.2
968,3,1200,0.12
969,1,400,0.04
970,2,800,0.08
971,2,800,0.08
972,2,800,0.08
973,1,400,0.04
974,2,800,0.08
975,1,400,0.04
976,1,400,0.04
977,1,400,0.04
978,1,400,0.04
979,11,4400,0.44
980,2,800,0.08
981,2,800,0.08
982,1,400,0.04
983,3,1200,0.12
984,5,2000,0.2
985,20,8000,0.8
986,5,2000,0.2
987,3,1200,0.12
988,2,800,0.08
989,1,400,0.04
990,8,3200,0.32
991,2,800,0.08
992,5,2000,0.2
993,1,400,0.04
994,3,1200,0.12
995,1,400,0.04
996,2,800,0.08
997,1,400,0.04
998,1,400,0.04
999,2,800,0.08
1000,1,400,0.04
1001,1,400,0.04
