scenario;zone_id;pixel_count;area_m2;area_ha;input_file;salinity_min;salinity_max;salinity_mean;salinity_median;depth_min;depth_max;depth_mean;depth_median;temperature_min;temperature_max;temperature_mean;temperature_median;sedimentation_min;sedimentation_max;sedimentation_mean;sedimentation_median
check4factor;54;74;29600;2.96;factor_suitability_2025_Depth_10m_2025_highest.tif;32.868;32.868;32.868;32.868;5.122;6.482;5.537;5.49;29.014;29.014;29.014;29.014;10.787;10.787;10.787;10.787
check4factor;55;103;41200;4.12;factor_suitability_2025_Depth_10m_2025_highest.tif;32.868;32.868;32.868;32.868;5.122;6.757;5.912;5.924;29.014;29.014;29.014;29.014;6.666;6.666;6.666;6.666
check4factor;56;275;110000;11.0;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.868;32.867;32.868;5.243;7.907;6.445;6.345;29.014;29.073;29.028;29.014;6.051;6.666;6.52;6.666
check4factor;57;53;21200;2.12;factor_suitability_2025_Depth_10m_2025_highest.tif;32.868;32.868;32.868;32.868;5.189;5.989;5.456;5.447;29.014;29.014;29.014;29.014;10.787;10.787;10.787;10.787
check4factor;58;311068;124427200;12442.72;factor_suitability_2025_Depth_10m_2025_highest.tif;32.86;32.874;32.866;32.866;4.405;8.0;7.299;7.364;28.936;29.149;29.082;29.073;2.743;13.455;4.897;4.46
check4factor;59;614;245600;24.56;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;5.059;7.931;6.417;6.483;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;60;130;52000;5.2;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;4.384;7.863;5.918;5.916;29.073;29.073;29.073;29.073;8.117;8.117;8.117;8.117
check4factor;61;57;22800;2.28;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;5.012;6.316;5.729;5.68;29.073;29.073;29.073;29.073;13.171;13.171;13.171;13.171
check4factor;62;105;42000;4.2;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;5.32;6.929;6.159;6.192;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;63;96;38400;3.84;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;5.38;7.027;6.263;6.286;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
